Year,Race,Driver,Team,LapNumber,LapTime_seconds,Position,TireCompound,TireAge,PositionGroup,driver_win_rate,start_position,positions_gained,tire_degradation,race_phase,team_reliability
2025,16,PIA,McLaren,47.0,81.245,2.0,SOFT,5.0,Top 5,0.0,3.0,1.0,-20.156999999999996,Late,83.33333333333334
2025,16,PIA,McLaren,48.0,81.783,2.0,SOFT,6.0,Top 5,0.0,3.0,1.0,0.5379999999999967,Late,83.33333333333334
2025,16,PIA,McLaren,49.0,83.484,3.0,SOFT,7.0,Top 5,0.0,3.0,0.0,1.7009999999999934,Late,83.33333333333334
2025,16,PIA,McLaren,50.0,81.508,3.0,SOFT,8.0,Top 5,0.0,3.0,0.0,-1.975999999999999,Late,83.33333333333334
2025,16,PIA,McLaren,51.0,81.477,3.0,SOFT,9.0,Top 5,0.0,3.0,0.0,-0.0309999999999917,Late,83.33333333333334
2025,16,PIA,McLaren,52.0,81.386,3.0,SOFT,10.0,Top 5,0.0,3.0,0.0,-0.09100000000000819,Late,83.33333333333334
2025,16,PIA,McLaren,53.0,81.371,3.0,SOFT,11.0,Top 5,0.0,3.0,0.0,-0.015000000000000568,Late,83.33333333333334
2025,16,LEC,Ferrari,1.0,88.28,4.0,MEDIUM,1.0,Top 5,0.0,4.0,0.0,-0.018999999999991246,Early,88.88888888888889
2025,16,LEC,Ferrari,2.0,85.178,3.0,MEDIUM,2.0,Top 5,0.0,4.0,1.0,-3.102000000000004,Early,88.88888888888889
2025,16,LEC,Ferrari,3.0,84.965,3.0,MEDIUM,3.0,Top 5,0.0,4.0,1.0,-0.21299999999999386,Early,88.88888888888889
2025,16,LEC,Ferrari,4.0,84.525,3.0,MEDIUM,4.0,Top 5,0.0,4.0,1.0,-0.4399999999999977,Early,88.88888888888889
2025,16,LEC,Ferrari,5.0,84.441,3.0,MEDIUM,5.0,Top 5,0.0,4.0,1.0,-0.08400000000000318,Early,88.88888888888889
2025,16,LEC,Ferrari,6.0,84.858,4.0,MEDIUM,6.0,Top 5,0.0,4.0,0.0,0.4170000000000016,Early,88.88888888888889
2025,16,LEC,Ferrari,7.0,83.974,4.0,MEDIUM,7.0,Top 5,0.0,4.0,0.0,-0.8840000000000003,Early,88.88888888888889
2025,16,LEC,Ferrari,8.0,84.041,4.0,MEDIUM,8.0,Top 5,0.0,4.0,0.0,0.06699999999999307,Early,88.88888888888889
2025,16,LEC,Ferrari,9.0,84.052,4.0,MEDIUM,9.0,Top 5,0.0,4.0,0.0,0.01100000000000989,Early,88.88888888888889
2025,16,LEC,Ferrari,10.0,84.14,4.0,MEDIUM,10.0,Top 5,0.0,4.0,0.0,0.08799999999999386,Early,88.88888888888889
2025,16,LEC,Ferrari,11.0,84.036,4.0,MEDIUM,11.0,Top 5,0.0,4.0,0.0,-0.1039999999999992,Early,88.88888888888889
2025,16,LEC,Ferrari,12.0,83.893,4.0,MEDIUM,12.0,Top 5,0.0,4.0,0.0,-0.14300000000000068,Early,88.88888888888889
2025,16,LEC,Ferrari,13.0,83.683,4.0,MEDIUM,13.0,Top 5,0.0,4.0,0.0,-0.20999999999999375,Early,88.88888888888889
2025,16,LEC,Ferrari,14.0,83.637,4.0,MEDIUM,14.0,Top 5,0.0,4.0,0.0,-0.04600000000000648,Early,88.88888888888889
2025,16,LEC,Ferrari,15.0,83.635,4.0,MEDIUM,15.0,Top 5,0.0,4.0,0.0,-0.001999999999995339,Early,88.88888888888889
2025,16,LEC,Ferrari,16.0,83.595,4.0,MEDIUM,16.0,Top 5,0.0,4.0,0.0,-0.04000000000000625,Middle,88.88888888888889
